test_acc_step,step,test_acc_epoch,epoch
0.96875,0,,
0.9375,1,,
0.921875,2,,
0.9375,3,,
0.921875,4,,
0.953125,5,,
0.90625,6,,
0.9375,7,,
0.96875,8,,
0.96875,9,,
0.921875,10,,
0.9375,11,,
0.953125,12,,
0.921875,13,,
0.96875,14,,
0.90625,15,,
0.953125,16,,
0.96875,17,,
0.953125,18,,
0.890625,19,,
0.9375,20,,
0.953125,21,,
0.9375,22,,
0.90625,23,,
0.9375,24,,
0.90625,25,,
0.984375,26,,
0.96875,27,,
0.9375,28,,
0.890625,29,,
0.984375,30,,
0.96875,31,,
1.0,32,,
0.890625,33,,
0.96875,34,,
0.9375,35,,
0.90625,36,,
0.90625,37,,
0.890625,38,,
0.953125,39,,
0.9375,40,,
0.921875,41,,
0.9375,42,,
0.984375,43,,
0.90625,44,,
0.921875,45,,
0.9375,46,,
0.90625,47,,
0.984375,48,,
0.890625,49,,
0.96875,50,,
0.921875,51,,
0.9375,52,,
0.953125,53,,
0.921875,54,,
0.921875,55,,
0.90625,56,,
0.90625,57,,
0.9375,58,,
0.984375,59,,
0.90625,60,,
0.9375,61,,
0.9375,62,,
0.96875,63,,
0.875,64,,
0.96875,65,,
0.90625,66,,
0.984375,67,,
0.921875,68,,
0.96875,69,,
0.953125,70,,
0.921875,71,,
0.890625,72,,
0.953125,73,,
0.953125,74,,
0.921875,75,,
0.96875,76,,
0.953125,77,,
1.0,78,,
,0,0.9377999901771545,0
